GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
MRPL51,0.011259398309156569,1.759970375276848e-11,0.0,0.0,2.184089459810133e-15,3.795058226556845e-08,1.4168197918258498e-06,0.9887391469028672
TSSC4,0.19657842436249115,9.812952188735189e-10,0.0,0.0,1.2303850290956092e-13,2.3668749444724956e-06,2.576248318927182e-05,0.8033934452979569
PYCR2,0.006561850176163953,8.673528977673738e-12,0.0,0.0,1.0609528014195028e-15,2.4066281734872466e-08,5.084870111545253e-07,0.9934376172618685
TOR1B,0.17405777453380428,1.0556516262542261e-09,0.0,0.0,1.1455799638344274e-13,3.1910943858545627e-06,2.2019281734513635e-05,0.8259170140343095
SPATA17,1.554028265030638e-13,8.559812033304362e-05,0.0,0.0,8.668584921673234e-09,0.16964639728093844,0.8302679959299885,0.0
SLC9A1,0.1468972725955922,2.038188511601255e-10,0.0,0.0,2.4217578158221428e-14,6.073011276050118e-07,1.0745142820409444e-05,0.8530913747566164
OXA1L,0.0002707297430911467,1.5137607251882801e-12,0.0,0.0,2.1043801794992002e-16,1.9058959453066837e-09,1.2539867785036273e-07,0.9997291429508205
EIF6,8.525299315683752e-30,0.03483482720707398,0.0,0.0,2.6532352143855413e-06,0.9651625055552306,1.4002481533508342e-08,0.0
PCBD2,1.9387816882173913e-05,3.587787412297828e-14,0.0,0.0,5.043603841984876e-18,7.589945752739478e-11,2.248957456054901e-09,0.9999806098582245
SURF1,0.009543642916284529,2.2000223426373776e-11,0.0,0.0,2.8937820648680735e-15,5.4540529923768644e-08,1.0844871256627693e-06,0.9904552180340566
MON1B,0.9972912181147005,6.797310715478181e-08,0.0,0.0,4.511014667999055e-12,0.00043211510810566613,0.0022765987995757332,2.149102752001604e-55
KIF2C,0.9819992651172165,1.3416005511381308e-09,0.0,0.0,1.3531816299554025e-13,4.362362368912592e-06,8.90213924305492e-05,0.01790734978624793
SNW1,0.9980196366164461,4.708074121984084e-08,0.0,0.0,8.075046574853591e-12,3.029210355767758e-05,0.001880738928775347,6.928526240464509e-05
THOC5,0.00027610906915830703,1.185642454723341e-12,0.0,0.0,1.6079021791745642e-16,2.3422746363721476e-09,4.761480549028992e-08,0.9997238409725757
CCAR2,0.0010582181522063108,1.0632127242418205e-12,0.0,0.0,1.2847246152491773e-16,2.983756897545584e-09,7.47877155900423e-08,0.9989417040752575
HSF1,0.13220248429334186,2.265734699170521e-09,0.0,0.0,2.9172701447083223e-13,3.3896137011446154e-06,9.59765893420126e-05,0.8676981472375886
RPL37,0.9996990510362173,3.0810155301399796e-09,0.0,0.0,3.603291705360264e-13,7.89956586537526e-06,0.00027399888086725025,1.9047435674251506e-05
RAD23A,0.0002922699593220105,4.1217479814248434e-13,0.0,0.0,5.327442619470568e-17,9.246742320399104e-10,2.938491722899197e-08,0.999707699730674
NEDD8,0.009695198507738279,4.4770113546271e-11,0.0,0.0,5.478159258171693e-15,9.49728764360429e-08,2.3039692679131806e-06,0.9903024025053416
CHCHD3,0.9993829703333007,7.1252030804750554e-09,0.0,0.0,1.079900792419236e-12,1.0720648791532528e-05,0.0006063011594655184,7.32159205895698e-10
POLR2C,3.4614075039989655e-05,6.919109319668316e-14,0.0,0.0,9.930109201456544e-18,1.3105024767931e-10,4.097478761235466e-09,0.9999653816963612
DDX39B,7.359455455476951e-05,2.0173247765208963e-13,0.0,0.0,3.0613786357017125e-17,3.5455772898316805e-10,1.4712793701618802e-08,0.9999263903778925
PIK3R2,0.003397844540530474,6.588204462885459e-11,0.0,0.0,7.897906234853145e-15,1.4459735027367876e-07,1.7249160383498339e-06,0.9966002858801906
CKAP5,0.9999376112843551,1.1725871604720542e-08,0.0,0.0,1.0182559349684525e-12,4.602597899628136e-05,1.6351009758775686e-05,1.6194089737629694e-20
RAB14,0.9992515479511727,2.3948048710474726e-07,0.0,0.0,2.8744738633455802e-11,0.0007481908841451314,2.1655450442606097e-08,2.685818133637777e-38
TRUB2,0.00010623226154924782,2.1816022949920257e-13,0.0,0.0,3.156621422633475e-17,4.4990482304641736e-10,1.526217347986984e-08,0.9998937520261544
TBCCD1,3.8685843566491447e-05,9.40911275368222e-14,0.0,0.0,1.3549476447108177e-17,1.873487831678339e-10,4.841300549634633e-09,0.9999613091276901
SUV39H2,0.00126910039623762,8.210840968695987e-11,0.0,0.0,1.1596552041554605e-14,6.95379554393773e-08,3.483997358206193e-06,0.9987273459863284
SMG1,0.00015654364757429308,1.1770112574372566e-12,0.0,0.0,1.4589653311047833e-16,2.532254175257183e-09,3.7031932204370616e-08,0.9998434167870622
RFX3,0.002071750400134224,1.5334844815245212e-11,0.0,0.0,2.353798399339672e-15,2.428824615845002e-08,1.015193690105199e-06,0.9979272101025922
CEP57L1,0.0001122601303708886,3.339697843831175e-13,0.0,0.0,4.1671527512379406e-17,7.723366209844232e-10,1.2506771198479184e-08,0.999887726590187
DNAJA2,7.247417154366083e-05,1.929308226172886e-13,0.0,0.0,2.748202154689476e-17,3.685878512668704e-10,1.2994545854790952e-08,0.9999275124651306
PTPN12,0.0002211693185373836,2.8158309696656786e-13,0.0,0.0,3.515325746291054e-17,7.060401282399739e-10,2.3111893028236185e-08,0.9997788068632483
PLEKHA8,0.005365687158503574,8.393278764415159e-12,0.0,0.0,1.0815737929159782e-15,2.1095718616879162e-08,4.765674522706678e-07,0.9946338151699309
TRAM1,0.9998208414541812,2.3004202155832483e-08,0.0,0.0,1.6591349757571428e-12,8.985502031914799e-05,8.928051963843866e-05,2.7272784511947262e-36
AIMP2,0.0025661112700080682,6.980120234970444e-12,0.0,0.0,9.4065422023461e-16,1.498134529584578e-08,2.2991304697250604e-07,0.9974336438286193
SRSF4,0.0011611510275857315,1.166174489398238e-11,0.0,0.0,1.8626332873090143e-15,1.507925161783581e-08,5.778463424919289e-07,0.9988382560351564
LRRC42,0.00019290975007792474,2.8489610391107816e-13,0.0,0.0,3.5337633978524714e-17,7.3006418627374e-10,1.7929565951559807e-08,0.9998070715900063
NPAT,7.950960970681387e-05,1.4292817702552382e-13,0.0,0.0,2.0715161107029068e-17,2.834668821226855e-10,1.1220699328650329e-08,0.999920478885984
QDPR,1.0284608483990032e-136,0.9599998945100721,0.0,0.0,0.00028717960474862394,0.03971292112020371,4.764975228857979e-09,0.0
TMEM168,0.021065013008424227,4.198422554988558e-10,0.0,0.0,6.596379711446934e-14,3.7923378119970765e-07,7.08189459905002e-06,0.9789275254432872
NUDCD1,0.00011310451617499036,2.127550415027269e-12,0.0,0.0,3.1242084136389313e-16,3.1765929755520287e-09,3.963418479496774e-08,0.9998868526709188
OTUD6B,0.0008566798522006464,1.903536189039253e-12,0.0,0.0,2.5865255763391486e-16,3.6942047544285424e-09,1.0719939695968056e-07,0.9991432092522933
SEC23IP,0.9779844511442005,1.8397828806894534e-09,0.0,0.0,2.3845230136304464e-13,4.698437156166933e-06,0.00014225246663316572,0.021868596111988665
PCF11,0.014287033150952344,1.8137192333495796e-11,0.0,0.0,2.1837109387905405e-15,4.9124761474359174e-08,1.5782768168285634e-06,0.9857113394293292
KLHL18,0.0003406719106645689,3.449317125682199e-13,0.0,0.0,3.8018079982002484e-17,1.0249816543724838e-09,2.9362253277025665e-08,0.9996592977017563
SLC39A10,0.06990724655796733,7.184636023286334e-11,0.0,0.0,8.198049382848279e-15,2.1030588018481636e-07,6.493462156697502e-06,0.9300860496021411
FAM53C,0.12688311265836824,2.7513080572666507e-10,0.0,0.0,3.083890054626914e-14,8.005915328328887e-07,1.566404321735221e-05,0.8731004224317201
YIPF3,0.0002979831755269872,1.3207094595891377e-12,0.0,0.0,1.8713426341049378e-16,2.5120629342742446e-09,8.02093105481979e-08,0.9997019341017779
SNAP23,5.6107274978112156e-05,2.4495243908632787e-13,0.0,0.0,3.4827317967807126e-17,4.75683664879843e-10,8.232959381371772e-09,0.999943884016133
EEF1D,0.9998467095569246,5.226068120466198e-09,0.0,0.0,5.655655969191933e-13,1.6543065996355855e-05,0.00011738943049824259,1.935271994704924e-05
ACOX1,0.00014982955529362348,3.1178498921829936e-13,0.0,0.0,4.1786247343143065e-17,6.748719000455339e-10,2.0885747382088173e-08,0.9998501488837761
